title;text;tags;date
Война без правил;Срач пешеходов, велосипедистов и самокатчиков не угаснет, видимо, никогда. Подкину и я дровишек. Приехала из отпуска, иду домой, качу чемодан по тротуару, который не сказать, чтобы очень широкий. И вот спереди на меня надвигается две девицы на самокатах, а сзади начинает яростно сигналить целая семья на великах — хоть и на этом спасибо, а то обычно о приближении велосипедиста я узнаю, когда он едва ли не врезается в меня. Я хоть и иду по краю, но чемодан большой, а отскочить мне вообще некуда — с одной стороны оживлённая проезжая часть, с другой мокрая земля. Отец на велике начинает орать, чтобы я отошла. Самокатчицы просто тупо едут на меня, даже не думая сбавлять скорость. Я останавливаюсь, ставлю чемодан боком и говорю, чтобы они проезжали. И начинается: — Уйдите с тротуара! — Да куда??? — Вон, на газон! Мы тут не проедем! — Ну, а я что могу сделать? Спешивайтесь и друг за дружкой, гуськом. — Совсем охренели. — И вам тоже всего самого наилучшего. Потом они ругались уже с девушками на самокатах. В общем, думайте, что хотите, но пора уже редактировать ПДД. Потому что эта война будет длиться вечно. Я готова отойти в сторону и пропустить «колесника», хотя и не обязана. Но давайте будем ВЗАИМНО вежливы, а? Вы видите, что тротуар узкий, и мне некуда с него отойти. Я остановилась и дала возможность проехать. И я же ещё и виновата. Задолбали!;транспорт, быт;2021-09-21
Как бы чего не вышло...;А меня неимоверно задолбали слепые следователи инструкциям. Именно из-за этого у нас в стране нет прогресса, а исключительно слепое выполнение задач по инструкциям делает невозможным эти инструкции изменить. Причина этого банальна и проста — нежелание нести ответственность самому и неуёмное желание спихнуть её на другого: разработчика инструкции, например. Инструкции могут содержать ошибки и недочёты. Люди, которые работают, все с образованием, особенно начальники — о боже, с высшим. Я понимаю ещё слепое следование инструкции рабочим первого разряда с ПТУ за плечами. Но никак не человеком руководящей позиции. В госконторах — там да, зашились регламентами и инструкциями, у них инструкция на каждый чих. А чиновник как робот повторяет одну фразу «это инструкция, извините». Так блин, не удивляйтесь, что скоро разовьют электронные технологии, и вы отправитесь на улицу, так как текст «извините, это не по инструкции» может и компьютер выводить на экран монитора. Я сам, работая техническим директором, часто согласовываю инструкции, в основном по охране труда, пожарные, экологические и другие, предусмотренные законом. Так вот я всегда говорю — инструкция-то инструкцией, но если вы — разумные люди, видите что в ней что-то не так — скажите, мы её изменим. Инструкции очень часто меняются после различных технических аудитов. Это не документ, который должен лежать с лохматого года неизменный. А ещё выходят новые требования, законы. Это наша работа. А у моей жены в госконторе на работе должностные инструкции не пересматривались с 2005 года, инструкции по охране труда с 1997 лежат мертвым грузом. Регламенты разработаны ещё в 80-х годах. Вот только их никто не знает и не выполняет побуквенно, как начальник из исходной задолбашки. Воистину, их строгость компенсируется необязательностью исполнения. Да, если что случится, они будут отвечать. Но их начальство руководствуется принципами «мы за стабильность» и «не лезь не в своё дело». И я жду не дождусь когда на смену стабилизаторам придут уже, наконец, молодые технократы, способные жить в этом динамичном, живом, меняющемся мире. Так что я согласен с автором первоначального текста — если инструкция противоречит здравому смыслу, нужно либо её изменить, либо тупо ей не следовать, особенно если эта инструкция крайне мешает работать другим. У молодых бы даже вопросов не возникло по поводу расширений. А начальник пусть идёт на курсы компьютерной грамотности и не делает мозг своим подчинённым, живущим в 21 веке, в отличие от него — мастодонта, застрявшего в семидесятых. Задолбали.;начальство;2021-09-21
Если что-то для вас действительно важно, то возможность всегда найдётся;И каких только оправданий люди не выдумывают, лишь бы мусор не убирать за собой. И аллергия у них, и крышка от бака грязная, и мозгов у людей нет… Ведь в мире не существует тканевых перчаток, тех самых, рабочих, садовых. Только латекс, только хардкор. И влажных салфеток не существует, чтобы руки потом протереть. Так же, как и великого множества санитайзеров и прочих очищающих гелей, коих в наши ковидные времена в каждом ларьке по три вида. И крышка от бака, видимо, три тонны весит, ну никак невозможно, обернув руку салфеткой, аккуратно её приподнять. А самое главное — видимо, свинотам нравится пейзаж! И ароматы от скопившихся мусорных мешков возле бака. Идёшь с утра, вдыхаешь запах гнилых овощей, ветер разносит использованную туалетную бумагу из разодранного собаками мешка… Красота, да? А если нет, прекратите уже выдумывать отмазки и выбрасывайте мусор в баки, а не складируйте его рядышком. Вообще не представляю себе, насколько идиотом надо быть, чтобы в 21 веке тебя учили, куда надо относить мусор. Моя пятилетняя дочь знает, что мусорный пакет надо выбросить в бак, а куча дяденек и тётенек не знают! На работе-то все такие интеллигентные, в костюмах и при галстуках, а поди ж ты — бытовые свиньи. Задолбали уже, принцессы на горошине! Да, закрытая крышка бака — неудобно, но это не оправдание для того, чтобы свой мешок бросить возле него и забыть об этом.;сервис, быт;2021-09-21
Кто не успел, тот опоздал;«У автозака вообще нет ничего экстренного». Ребят, вы, наверное, не знаете, для чего нужны автозаки? Так я объясню. В них перевозят преступников. Это такие люди, которых общество не хочет видеть на свободе. Из автозака сбежать проще, чем из любого здания, включая СИЗО или суд. У преступника могут быть сообщники. Преступник, обычно, не один в автозаке — это не личный эскорт — а их несколько. Если они вместе, то им снова проще сбежать из автозака, чем из камеры, где они обычно группой поменьше, даже если в автозаке они находятся в отдельных секциях. Хотя как получится. Из всего этого следует, что чем быстрее автозак доедет до суда, тем меньше шанс, что преступник сбежит. Это как, думаете, важно, нет? Выехать на автозаке «пораньше» нельзя. Потому что он едет к первым заседаниям — смотри выше про несколько человек, а не к одному конкретному. Это значит — с утра. Из СИЗО, который может быть и один на весь город, в суд, который может быть на совершенно другом конце города. Разбудить подозреваемых пораньше, чтобы выехать пораньше, нельзя. Подъём в конкретное время, потому что ночью ему должны дать поспать. Завтрак. Потому что альтернатива: СИЗО, где задержанных морят голодом и не дают спать. Да, мы видим такое на практике, но вы что, поддерживаете это, что ли? Пусть голодные поспят в автозаке в пробке? Какой же вы тонко сочувствующий человек, выступающий за нарушение прав человека, лишь бы лично вас автозак не обогнал. О, точно, там же ещё могут везти недавно задержанных. Сроки задержания без суда ограничены законом. Что вы предлагаете, постоять в пробке и выпустить задержанных за нарушение закона без суда под обещание прийти завтра с утра или нарушить закон уже самим полицейским, указав ложное время задержания в протоколе, какой вариант вас больше устраивает, лишь бы автозак мимо пробки не проехал? Следователь? Ещё лучше. ДПС, значит, должны спешить на место ДТП, чтобы убрать машины и не было пробки, а следователь не должен, да? Чего там с трупом сделается. А с машинами что сделается? Они же уже стоят, как и труп уже лежит, чай не взорвутся за два часа. Но убрать машины, вы считаете, нужно срочно, а труп нет. Пусть лежит, где умер. В метро, например, или посреди дороги, или в парке. Ну куда спешить, правда? Он же не мешает никому, перешагни и иди, вы так себе это представляете? А то, что место смерти полностью перегорожено, там никому не проехать-не пройти, так это не важно, следователь рано или поздно доедет, не торопимся. А если следователь на место ДТП поехал, то тут как ваша логика работает? Думаете, там трупов не бывает и следователи не нужны? Добавим, что у следователя не одно такое дело, а десятки, и чем быстрее он доедет, тем больше времени у него будет на самом деле работать, а не стоять в пробке. Да, всем бы хотелось не стоять в пробке, но только от работы следователя, сюрприз, зависит, будет ли найден и задержан преступник, что тоже вроде бы важно для общества, нет? А ещё следователь может ехать на особую операцию, которая привязана к расписанию преступников, а не следователя. Без него не начнут. Опоздает — преступники свои дела уже сделают и разойдутся. Ищи их снова. Но куда ему торопиться, ну да.;транспорт, полиция;2021-09-21
Из кулька в рогожку;Задолбали сетевые борцы, борцуны, борцухи и борчихи с РПП. Я в ремиссии уже семь лет. Благодаря самой себе. Конечно, потряхивает, но разум побеждает. Никакого веганства, вредных советов из журналов и страха перед едой. Спорт для выносливости и удовольствия и в целом спокойное отношение к еде. С ограничением лишнего сахара и углей, ибо в моём случае это не только о фигуре. Я не была совсем безнадёжной, не обращалась к специалистам и отделалась малой кровью: временным исчезновением цикла и растяжками. Но и в папке с «идеалами» были скорее очень худенькие, чем совсем костлявые или откровенно больные девушки. Мой минимальный вес — 38 килограмм при росте 166 сантиметров. И что сейчас? Ана вышла из моды, но вместо неё нам подарили бодипозитив и сделали фитнес более доступным. Каждый из больных выбирает по себе. И я уже видела, что происходит с девушками, которые выбирают бодипозитив в том виде, в котором он существует в сети. Вот один простейший пример: девушка начала жить по заветам бодипозитива, набрала достаточно много, но стало только хуже. Она выкладывает фотографии складочек с разными подписями на потеху публике, но за кадром именно сейчас начала себя резать и уродовать это новое тело разными иными способами. В итоге теперь девушка бывает в психушке ещё чаще, чем тогда. Зато не умрёт? Простите, но я думаю, что всё возможно. Человек в таком состоянии, что может наделать делов. Сколько я видела рекламы разных блогов, на которых очередные бывшие анорексички просто пытаются заработать, ибо работать мы не привыкли. У нас просто сил не было. Или возраст был такой, что работать не нужно. Очередная Маша «вылечилась» всего шесть месяцев назад. Отъелась и вещает о том, что все должны сделать также, пишет якобы полезные посты, тоннами лопает шоколад на камеру, фотографирует пузико и может отдельно проконсультировать каждую. Ага. Кто ты такая, чтобы консультировать? Твой вес стал больше на N-кило всего шесть месяцев назад. Ты питаешься вредной пищей, которая может дать только мимолётное удовольствие, но в таком количестве разрушит здоровье к чёртовой бабушке. Это всё даёт тебе право «лечить» другим головы? Тебе 20 лет, сопля зелёная. У тебя нет необходимой практики и образования. Ты просто жрёшь как слон и советуешь сделать это другим. А у других всё может быть намного хуже, чем было у тебя, когда ты весила 45 килограмм, а не 85. Ты вообще понимаешь, что ещё через шесть месяцев тебя может снова долбануть? Ты осознаёшь, как может долбануть кого-то из твоих последователей, которым ты капаешь на мозги? Какой из тебя доктор? Это уже просто крышеснос какой-то.;прекрасный пол, еда, красота;2021-09-20
Всё не так, как надо;А нам, яжматерям, всё всегда не так. Вот кого-то игнорируют, а меня, наоборот, в своё время задолбали неуместной помощью. Общественный транспорт в нашем районе почти весь низкопольный, зайти и выйти с коляской проще простого, но не когда очередной непрошеный доброхот начинает пытаться поднять тяжёлую коляску с ребенком и скарбом за хлипкий бампер или капюшон, а потом стоит, разинув рот на этот бампер или капюшон в своей руке. Да, эти части уже легко отделяются от коляски. Заходим в общественное место, спокойно занимаем очередь, тихонько — реально тихонько, ждём, но кому-нибудь будет скучно и он начинает дергать всех вокруг чтобы «женщину с ребёнком» пропустили быстрее. Ребёнок устроил валяние на полу или земле — большинство детей проходят через такой период — так сразу консилиум собирается, кто и куда денет моего ребёнка, тоже «помогают». О советах про шапочку и кофточку я молчу, этого от каждой встречной бабки выслушаешь.;прекрасный пол, транспорт, одежда, дети;2021-09-20
Чем больше оправдываешься, тем больше виноват;Не оправдывайтесь. Неважно, хороший вы отец или плохой, вы всё равно окажетесь виноватым. Женщина увидела в истории заявление, что ребёнок де-юре принадлежит родителям, де-факто, прежде всего, матери. Вся остальная история осталась ею незамеченной из-за застелившей глаза кровавой пелены. История вообще-то была о проблемах детей. О дурацких законах по их защите, из-за которых даже самому самостоятельному и адекватному ребёнку до совершеннолетия толком ни вздохнуть, ни пёрнуть. О том, что детям от родительского воспитания никуда, кроме детдома, не деться, и неважно, насколько оно кривое… Но кого это волнует, когда речь о чести женщины? Принцип тут простой: делаешь что-то неправильно — мудак, делаешь что-то правильно — «почему раньше так не сделал, мудак?» Вас легко обвинят в том, что вы посадили жену дома и не даёте ей развиваться, а то бы она за эти семь лет до 200−300 тысяч заработка в месяц дошла. Если у вас зарплата меньше полумиллиона, вы ещё и недоплачиваете жене за труд по воспитанию детей и домашнюю работу. Неважно, что вы от воспитания детей и домашней работы не самоустранились — готовите, ходите с детьми по врачам, водите их в школу и садик и вообще проводите с ними время. Обязательно найдутся ещё уборка, стирка, глажка, дизайн интерьеров и планирование дел, которыми вы не занимаетесь. Вас выставят виноватым в том, что вы настругали детей, а в случае развода хотите повесить их на мать. Скажут, что вы лжёте, обещая помощь, общение и содержание жены и детей, потому что все так говорят, а потом исчезают. И даже если вы не исчезнете и сдержите все обещания, вы всё равно будете виноваты в том, что у детей семья теперь неполная. Про абьюз я вообще молчу. Есть немаленькая вероятность, что любое ваше действие или даже слово будет считаться абьюзом просто потому, что вы мужчина. Если вы не психолог, а такие женщины — не ваши клиентки, то просто не связывайтесь. Так спокойнее.;прекрасный пол, дети, сильный пол;2021-09-20
Хорошо быть с кошкою, плохо быть с собакою;Знаете, давно назревало это написать, и я, наконец, решился. Задолбали собачники, вот просто самим своим присутствием на улице. А теперь по пунктам. Моих кошек вы не видите, я их вам не навязываю, и подавляющее большинство, включая соседей, даже не знают об их существовании, так что если какой кошконенавистник пройдёт мимо, у него не будет причин расстраиваться. Да и в транспорте я не езжу, так что «волосы кошачьи» ни на кого не попадут, если они на мне где и прилипли. Собаки же всюду, они носятся вокруг, лают даже сквозь закрытые пластиковые окна, их отходы всюду оскверняют дороги и газоны, а зимой тошно глядеть вокруг, когда чистый белый снег становится похожим на выгребную яму, которая взорвалась и всё забрызгала. Мои кошки вас не коснутся, в отличие от собак, которые обтираются о мои ноги при попустительстве хозяев. Мне чхать, что ваша зверюга добрая — для меня она априори грязная, потому что ходит по улице и мордой, которой трогает меня, возможно, жрала отходы другой собаки. Да, я видел, они так делают, в отличие от кошек. Это как подойти, и вытереть обувь о незнакомца — так для меня и прикосновение вашей псины. Для вас она «чистая»? Вот и уткнитесь с ней у себя дома, там, где исключительно ваша территория и ваши права, а на улице общая территория, хотя вы возомнили, что лишь ваша. Да, вы мешаетесь со своим зверьём. Выгуливать некуда? Почему-то мои кошки спокойно ходят на лоток, а ваши подпевалы говорят, что собака лучше всего дрессируется — выдрессируйте гадить дома на унитаз, если ваши «друзяшки человека» такие умные… Или они тупее кошек? Как по мне — да, но вы не согласитесь. Несостыковочка.;живность, быт;2021-09-20
Их калачом, а они в спину кирпичом;Он, рождённый когда-то женщиной, вышел с предприятия с зарплатой, которую рассчитала женщина. Сел в трамвай, который вела женщина, и доехал до дома, который построила крановщица-женщина. Вошёл в подъезд, который покрасила женщина, затем в лифт, который женщина тщательно вымыла. Открыл квартиру, обои в которой поклеила женщина, съел ужин, приготовленный женщиной из продуктов, упакованных и проданных женщинами. Включил зарядку телефона в розетку, собранную слепой женщиной, и без единой орфографической ошибки, чему его тоже научила женщина, принялся клеймить женщин за «тупость» и «меркантильность». Этот текст написан мужчиной.;продавцы, транспорт, электроника, супермаркет, еда, недвижимость;2021-09-20
Очень кушать хочется;Надо же, как удивительно, оказывается, разработчики игр и приложений тоже хотят кушать! А вы знаете, сколько сил и труда уходит на создание одного приложения или игры? Услуги художника и программиста недёшевы. Думаете у нас, разработчиков, по две яхты с золотыми унитазами в каюте? Рекламные агрегаторы тоже «жадные», и вполне могут урезать доход разработчика от рекламы. Львиная доля дохода уходит именно им, а не разрабам. Вы хотите играть в игру бесплатно — закажите её у студии специально для вас. С пожизненным премиумом. Только вот сюрприз — обойдётся это гораздо дороже, чем 500 руб. в месяц. А то хотите, как говорится, и рыбку съесть — поиграть в игру, и … денег не платить. Попробуйте провернуть такой фокус в парикмахерской или маникюрном салоне — тоже ведь виды услуг. Ничего не скажешь — жадностью назвали желание просто получить оплату за свой труд. Задолбали, щедрые!;реклама, развлечения, интернет-клубы, интернет;2021-09-20
Заложники прогресса;Меня, скорее всего, закидают тапками, но рискну таки высказаться. В играх про эффект массы есть раса квариан, которые вообще-то почти как люди, но имеют настолько низкие естественные сопротивляемости, что вне своих стерильных кораблей способны существовать только в глухом скафандре и с тонированным в ноль шлемом, потому что ультрафиолет выдерживать не могут тоже. Естественно, с другими расами контакт тоже только так — через скафанры. И вот я смотрю на разгорающийся срачик по поводу ос и думаю — насколько наше сегодняшнее человечество далеко от квариан? Судите сами — уже сейчас некоторые болезни, с которыми наши деды и бабки спокойно работали, и я имею в виду — реально спокойно и без проблем в перспективе, сегодняшних здоровых мужиков укладывают на больничную койку. Почему? А потому что иммунитет ни к чёрту. Пример такого совсем недавно наблюдал, когда прабабушка передала с дачи домашнюю сырню. Кто не знает — такой крупяно-фруктовый кисель. Итого — всё семейство на унитазе, а баба в искреннем удивлении — она кушает и ей ничего! Семейство несётся к врачу, прабабушку тащат за компанию, месяц спустя имеем на руках заключение врачей — у всего молодого поколения не вырабатывается фермент, позволяющий такое переваривать. Потому что, а зачем, если в городе такого не едят? Природа — великий оптимизатор. Если орган не используется, новые поколения не тратят ресурсы на его формирование, если в каком-то ферменте долго не возникает необходимости, железы перестают его секретировать. И вот если взять сейчас обычного человека городского, не важно, из «белых воротничков» ли или из рабочих районов, и кинуть куда-нибудь в тайгу или на необитаемый остров — долго ли он протянет? Недолго. И дело даже не в навыках или панике, а в том, что даже если этот Робинзон возьмёт себя в руки и вспомнит когда-то виденные на Ютубе руководства по выживанию, изнеженный городскими условиями организм всё равно сам загонит его в могилу. Например, ответив диареей на горсть лесных ягод вместо обеда. Не потому, что ягоды ядовитые или немытые, а просто потому, что это не хорошо прожаренная полуфабрикатная котлета, к которой он привык. Люди создали себе новый биом — город. Биом почти лишённый нормальных природных опасностей, настолько далекий от естественности, что когда какой-то элемент природы являет себя на бетонных просторах — это повод как минимум для удивления: «Чтой-то осы так нынче расплодились?» Биом, из которого природа изгоняется всеми силами — в моём детстве в каждом дворе жили стайки воробьёв, несколько «местных» собак и кошек, сейчас — не осталось никого, кроме эпизодических голубей, потому что бесхозных зверей истребляют, а хозяев домашних год от года зажимают всё туже в тиски разных законов и уложений, из-за чего многие, взвесив все за и против, решают обойтись без питомца вообще. Согласен с тем, что лучше регулировать некоторые моменты, но серьёзно, диспут о том, чтобы убирать кучки за собаками? Как мы вообще до этого дожили? В общем, не удивлюсь, если сатира про мандалорцев с их «несъёмными» шлемами окажется пророческой и через два-три поколения человечество обнаружит себя в перманентных противогазах и живущим в городах под стеклянными колпаками. P. S.  Для особо одарённых — к ковиду моя задолбашка не относится. Надевайте чёртову маску и соблюдайте таки дистанцию, жить при постоянном карантине уже задолбало.;медицина, живность, быт;2021-09-20
Ну как не порадеть родному человечку!;В пабликах сетуют, что местный театр совсем перестали зрители посещать. Зато главная роль — у дочки режиссёра, которая пару букв не произносит! Молодёжная команда по хоккею — финансируется из бюджета! —  проиграла все игры в недавнем кубке. Зато там двое нападающих — сынки спортивного директора команды! Молодой врач ошибается пятый раз с диагнозом. Зато мама в Минздраве! После такого не удивляешься сыну директора хора с отсутствием слуха, но запевалой в хоре. Задолбала семейственность!;медицина, музыка, спорт, искусство;2021-09-20
Самый неблагодарный труд — труд воспитания;«Базовый минимум». «Базовая родительская обязанность». Звучит так, как будто вы что-то покупаете в магазине и это входит в стоимость. То есть вам сверху ничего платить не надо. Я понимаю, что в 18−20 лет ещё не осознаёшь до конца, что накормить-одеть ребёнка — да что там, хотя бы дать ему место, где жить — требует значительных усилий. В стране, где каждый выживает, как может, ты вдобавок должен позаботиться о ком-то ещё. Причём этот кто-то, в силу малолетства и отсутствия мозгов, активно сопротивляется твоей заботе, мешает тебе зарабатывать деньги на жизнь, восстанавливаться после тяжёлой работы. Я отлично понимаю, что винить маленьких детей в том, что они мелочь неразумная — глупо. Поэтому родители просто терпят это всё, сцепив зубы и надеясь, что когда-нибудь будет полегче. И да, не все могут терпеть одинаково хорошо, представьте себе! Мы, взрослые люди, не идеальные, вот новость-то! Для многих из нас стресс оказывается слишком велик, и мы пытаемся его снять, алкоголем ли, руганью ли тех, кто послабее. Кто спорит, это очень плохо, так нельзя! Но, может быть, государству и обществу стоит, хотя б немного, помочь родителям? Хотя бы как-то облегчить их жизнь? А вы, дети, выросшие и предъявляющие претензии — не задолбали, нет. Это всего лишь говорит о том, что вы пока так и остались с умом трёхлеток. Какие бы вы там ни получали отметки в школе — главного про жизнь вы пока ещё не поняли. И да, перестаньте уже кричать: «Так зачем же вы нас тогда рожали». Хотя бы потому, что этот самый акт заведения детей не является полностью добровольным, ни для отца, ни для матери. Первого в большинстве случаев ставят перед фактом и не спрашивают, а хочет ли он вообще. На вторую давит общество, окружение, «рожай давай скорее, часики-то тикают». Опять-таки, пока вы сами не окажетесь в таком положении, не поймёте, хоть тресни. А пока — просто помолчите.;дети, родственники;2021-09-20
Сколько людей, столько и рецептов;Что ж, будем знакомы — я неряха. Ну, с точки зрения большинства. Я принимаю душ раз в неделю. Волосы мою раз в пять дней. Средствами вашими я пользоваться не буду — для меня они слишком агрессивные. Умываюсь, когда умываю голову, лёгким каждодневным средством. Антиперспирантами я не пользовалась лет одиннадцать, расчёской — пять, за это время волосы успели спуститься за линию талии. Декоративка? Иногда крашу губы. Не при масочном режиме, конечно. Представили себе лицо с вулканическими прыщами, вечный колтун на голове, постоянные порывы почесаться и запах? Ну да, примерно так я и выглядела. До того, как перешла на описанную выше систему. А сейчас у меня гладкая, сияющая кожа и волосы как после салонной укладки. Когда температура поднимается выше тридцати градусов или опускается ниже минус тридцати — о, эти прекрасные моменты в шубе в натопленной прихожей! —  к вечеру под мышками на нижнем слое одежды может появиться небольшое пятно размером с десятикопеечную монету, тогда, конечно, поддёвку приходится менять. У дерматологов и трихологов состояние кожи и волос проверила, они подтвердили, что всё в порядке. Иногда перепроверяюсь, но это уже чистая подстраховка. А задолбало меня представление о том, что есть универсальная система ухода, этакий святой Грааль красоты и здоровья, которая подходит абсолютно всем. Поэтому, уже подозревая, что я что-то делаю не так, я старательно сдирала еле наросший защитный слой на коже и травмировала её. Поэтому пользовалась антиперспирантами, делая перерывы только на то время, когда в очередной раз расчёсывала подмышки в кровь. Потому что вокруг регулярно вслух ржали над неряхами, запустившими себя, а я же не такая? Поэтому до сих пор я отвечаю на искромётные реплики о том, что отказ от расчёски нарушит мне кровообращение скальпа и все волосы выпадут. Жду уже пять лет, ага, а они только активнее растут, видимо, напоследок. Задолбали маркетинговые хитрости косметических компаний, которые обещают, что если у вас всё плохо, вы просто неправильно подобрали средство. Во многом это так, но замена баночек, отличающихся только отдушками, когда надо менять всю систему ухода, это только лишняя трата денег и времени. И задолбали мои подружки, которые понаблюдали за моими изменениями и решили, что я этот Грааль нашла, но из вредности не хочу делиться. Нет, милые, нет такой хитрости, чтоб мыть голову реже, если вам надо её мыть каждый день. Да, неудобно, но мне сушить мою гриву по шесть часов тоже не очень удобно, а что поделать. Нет, на меня бесполезно орать в трубку, если ты подглядела в моей ванной мой шампунь, помыла им голову и волосы повисли сальными сосульками. У тебя жирная кожа головы, у меня очень сухая, ты действительно думала, что он тебе подойдёт? Почему было не спросить у меня? Ах, ты поговорила с другой подружкой, и она сказала, что я дала издевательский, по её мнению, совет, осторожно пробовать средства по одному, отмечая, как меняются ощущения при изменении активных веществ? Не поверишь, я действовала именно так, и, как видишь, помогло. Нет, я не знаю, как сделать так, чтоб ты тоже вышла из ванной, а у тебя волосы легли пышной блестящей волной. Я не трихолог, увы. Господи, я только надеюсь, никому из них не хватит упорства допробоваться неподходящих схем до себорейного дерматита. Вот тут у них есть все шансы. В общем, задолбали чесать всех под одну гребенку и уминать себя и остальных в прокрустово ложе неподходящего ухода. Да, людей именно с такими особенностями, как у меня, немного. Но отклонений от принятого по умолчанию стандарта явно больше, чем многим хотелось бы.;прекрасный пол, красота;2021-09-20
